CODE,DESCRIPTION
K3182,DIEULAFOY LESION (HEMORRHAGIC) OF STOMACH AND DUODENUM
K381,APPENDICULAR CONCRETIONS
K4041,"UNILATERAL INGUINAL HERNIA, WITH GANGRENE, RECURRENT"
K429,UMBILICAL HERNIA WITHOUT OBSTRUCTION OR GANGRENE
K435,PARASTOMAL HERNIA WITHOUT OBSTRUCTION OR GANGRENE
K469,UNSPECIFIED ABDOMINAL HERNIA WITHOUT OBSTRUCTION OR GANGRENE
K5229,OTHER ALLERGIC AND DIETETIC GASTROENTERITIS AND COLITIS
K5283,MICROSCOPIC COLITIS
K529,"NONINFECTIVE GASTROENTERITIS AND COLITIS, UNSPECIFIED"
K5700,DVTRCLI OF SM INT W PERFORATION AND ABSCESS W/O BLEEDING
K592,"NEUROGENIC BOWEL, NOT ELSEWHERE CLASSIFIED"
K601,CHRONIC ANAL FISSURE
K603,ANAL FISTULA
K623,RECTAL PROLAPSE
K6389,OTHER SPECIFIED DISEASES OF INTESTINE
K645,PERIANAL VENOUS THROMBOSIS
K700,ALCOHOLIC FATTY LIVER
K710,TOXIC LIVER DISEASE WITH CHOLESTASIS
K713,TOXIC LIVER DISEASE WITH CHRONIC PERSISTENT HEPATITIS
K7291,"HEPATIC FAILURE, UNSPECIFIED WITH COMA"
K7581,NONALCOHOLIC STEATOHEPATITIS (NASH)
K8043,CALCULUS OF BILE DUCT W ACUTE CHOLECYSTITIS WITH OBSTRUCTION
K8045,CALCULUS OF BILE DUCT W CHRONIC CHOLECYSTITIS W OBSTRUCTION
K8061,"CALCULUS OF GB AND BILE DUCT W CHOLECYST, UNSP, W OBST"
K824,CHOLESTEROLOSIS OF GALLBLADDER
K830,CHOLANGITIS
K861,OTHER CHRONIC PANCREATITIS
K8689,OTHER SPECIFIED DISEASES OF PANCREAS
K901,TROPICAL SPRUE
K9409,OTHER COMPLICATIONS OF COLOSTOMY
L00,STAPHYLOCOCCAL SCALDED SKIN SYNDROME
L0211,CUTANEOUS ABSCESS OF NECK
L0221,CUTANEOUS ABSCESS OF TRUNK
L0302,ACUTE LYMPHANGITIS OF FINGER
L0311,CELLULITIS OF OTHER PARTS OF LIMB
L0882,OMPHALITIS NOT OF NEWBORN
L1230,"ACQUIRED EPIDERMOLYSIS BULLOSA, UNSPECIFIED"
L24A2,"IRRITANT CNTCT DERM D/T FECAL, URINRY OR DUAL INCONTINENCE"
L254,UNSP CONTACT DERMATITIS DUE TO FOOD IN CONTACT WITH SKIN
L4051,DISTAL INTERPHALANGEAL PSORIATIC ARTHROPATHY
L4054,PSORIATIC JUVENILE ARTHROPATHY
L501,IDIOPATHIC URTICARIA
L551,SUNBURN OF SECOND DEGREE
L563,SOLAR URTICARIA
L569,"ACUTE SKIN CHANGE DUE TO ULTRAVIOLET RADIATION, UNSPECIFIED"
L605,YELLOW NAIL SYNDROME
L648,OTHER ANDROGENIC ALOPECIA
L680,HIRSUTISM
L722,STEATOCYSTOMA MULTIPLEX
L728,OTHER FOLLICULAR CYSTS OF THE SKIN AND SUBCUTANEOUS TISSUE
L7632,"POSTPROC HEMATOMA OF SKIN, SUBCU FOLLOWING OTHER PROCEDURE"
L859,"EPIDERMAL THICKENING, UNSPECIFIED"
L8941,"PRESSR ULCER OF CONTIG SITE OF BACK, BUTTOCK AND HIP, STG 1"
L8995,"PRESSURE ULCER OF UNSPECIFIED SITE, UNSTAGEABLE"
L919,"HYPERTROPHIC DISORDER OF THE SKIN, UNSPECIFIED"
L922,GRANULOMA FACIALE [EOSINOPHILIC GRANULOMA OF SKIN]
L948,OTHER SPECIFIED LOCALIZED CONNECTIVE TISSUE DISORDERS
L980,PYOGENIC GRANULOMA
L985,MUCINOSIS OF THE SKIN
M0004,"STAPHYLOCOCCAL ARTHRITIS, HAND"
M0280,"OTHER REACTIVE ARTHROPATHIES, UNSPECIFIED SITE"
M0500,"FELTY'S SYNDROME, UNSPECIFIED SITE"
M0562,RHEUMATOID ARTHRITIS OF ELBOW W INVOLV OF ORGANS AND SYSTEMS
M0564,RHEUMATOID ARTHRITIS OF HAND W INVOLV OF ORGANS AND SYSTEMS
M0565,RHEUMATOID ARTHRITIS OF HIP W INVOLV OF ORGANS AND SYSTEMS
M0579,RHEU ARTHRITIS W RHEU FACTOR MULT SITE W/O ORG/SYS INVOLV
M060A,"RHEUMATOID ARTHRITIS WITHOUT RHEUMATOID FACTOR, OTH SITE"
M0683,"OTHER SPECIFIED RHEUMATOID ARTHRITIS, WRIST"
M0684,"OTHER SPECIFIED RHEUMATOID ARTHRITIS, HAND"
M0809,"UNSPECIFIED JUVENILE RHEUMATOID ARTHRITIS, MULTIPLE SITES"
M0889,"OTHER JUVENILE ARTHRITIS, MULTIPLE SITES"
M1001,"IDIOPATHIC GOUT, SHOULDER"
M1004,"IDIOPATHIC GOUT, HAND"
M1210,"KASCHIN-BECK DISEASE, UNSPECIFIED SITE"
M1289,"OTH SPECIFIC ARTHROPATHIES, NEC, MULTIPLE SITES"
M1310,"MONOARTHRITIS, NOT ELSEWHERE CLASSIFIED, UNSPECIFIED SITE"
M1383,"OTHER SPECIFIED ARTHRITIS, WRIST"
M1488,"ARTHROPATHIES IN OTH DISEASES CLASSD ELSWHR, VERTEBRAE"
M189,"OSTEOARTHRITIS OF FIRST CARPOMETACARPAL JOINT, UNSPECIFIED"
M1901,"PRIMARY OSTEOARTHRITIS, SHOULDER"
M1992,"POST-TRAUMATIC OSTEOARTHRITIS, UNSPECIFIED SITE"
M2011,"HALLUX VALGUS (ACQUIRED), RIGHT FOOT"
M2040,"OTHER HAMMER TOE(S) (ACQUIRED), UNSPECIFIED FOOT"
M2042,"OTHER HAMMER TOE(S) (ACQUIRED), LEFT FOOT"
M2110,"VARUS DEFORMITY, NOT ELSEWHERE CLASSIFIED, UNSPECIFIED SITE"
M2180,OTHER SPECIFIED ACQUIRED DEFORMITIES OF UNSPECIFIED LIMB
M2331,"OTH MENISCUS DERANGEMENTS, ANTERIOR HORN OF MEDIAL MENISCUS"
M2451,"CONTRACTURE, SHOULDER"
M2454,"CONTRACTURE, HAND"
M2501,"HEMARTHROSIS, SHOULDER"
M2536,"OTHER INSTABILITY, KNEE"
M2550,PAIN IN UNSPECIFIED JOINT
M2553,PAIN IN WRIST
M2556,PAIN IN KNEE
M2565,"STIFFNESS OF HIP, NOT ELSEWHERE CLASSIFIED"
M2572,"OSTEOPHYTE, ELBOW"
M2581,"OTHER SPECIFIED JOINT DISORDERS, SHOULDER"
M2657,LACK OF POSTERIOR OCCLUSAL SUPPORT
M2660,"TEMPOROMANDIBULAR JOINT DISORDER, UNSPECIFIED"
M269,"DENTOFACIAL ANOMALY, UNSPECIFIED"
M2749,OTHER CYSTS OF JAW
M316,OTHER GIANT CELL ARTERITIS
M317,MICROSCOPIC POLYANGIITIS
M3390,"DERMATOPOLYMYOSITIS, UNSP, ORGAN INVOLVEMENT UNSPECIFIED"
M340,PROGRESSIVE SYSTEMIC SCLEROSIS
M3505,SJOGREN SYNDROME WITH INFLAMMATORY ARTHRITIS
M4005,"POSTURAL KYPHOSIS, THORACOLUMBAR REGION"
M4014,"OTHER SECONDARY KYPHOSIS, THORACIC REGION"
M4020,UNSPECIFIED KYPHOSIS
M4037,"FLATBACK SYNDROME, LUMBOSACRAL REGION"
M4056,"LORDOSIS, UNSPECIFIED, LUMBAR REGION"
M4057,"LORDOSIS, UNSPECIFIED, LUMBOSACRAL REGION"
M4120,"OTHER IDIOPATHIC SCOLIOSIS, SITE UNSPECIFIED"
M4130,"THORACOGENIC SCOLIOSIS, SITE UNSPECIFIED"
M4150,"OTHER SECONDARY SCOLIOSIS, SITE UNSPECIFIED"
M4183,"OTHER FORMS OF SCOLIOSIS, CERVICOTHORACIC REGION"
M4302,"SPONDYLOLYSIS, CERVICAL REGION"
M4305,"SPONDYLOLYSIS, THORACOLUMBAR REGION"
M438X,OTHER SPECIFIED DEFORMING DORSOPATHIES
M456,ANKYLOSING SPONDYLITIS LUMBAR REGION
M45A6,NON-RADIOGRAPHIC AXIAL SPONDYLOARTHRITIS OF LUMBAR REGION
M4623,"OSTEOMYELITIS OF VERTEBRA, CERVICOTHORACIC REGION"
M4628,"OSTEOMYELITIS OF VERTEBRA, SACRAL AND SACROCOCCYGEAL REGION"
M4642,"DISCITIS, UNSPECIFIED, CERVICAL REGION"
M4647,"DISCITIS, UNSPECIFIED, LUMBOSACRAL REGION"
M4656,"OTHER INFECTIVE SPONDYLOPATHIES, LUMBAR REGION"
M4682,"OTH INFLAMMATORY SPONDYLOPATHIES, CERVICAL REGION"
M4684,"OTH INFLAMMATORY SPONDYLOPATHIES, THORACIC REGION"
M4688,"OTH INFLAMMATORY SPONDYLOPATHIES, SACR/SACROCYGL REGION"
M4692,"UNSPECIFIED INFLAMMATORY SPONDYLOPATHY, CERVICAL REGION"
M4714,"OTHER SPONDYLOSIS WITH MYELOPATHY, THORACIC REGION"
M4826,"KISSING SPINE, LUMBAR REGION"
M4857,"COLLAPSED VERTEBRA, NEC, LUMBOSACRAL REGION"
M5083,"OTHER CERVICAL DISC DISORDERS, CERVICOTHORACIC REGION"
M5135,"OTHER INTERVERTEBRAL DISC DEGENERATION, THORACOLUMBAR REGION"
M5144,"SCHMORL'S NODES, THORACIC REGION"
M5145,"SCHMORL'S NODES, THORACOLUMBAR REGION"
M5384,"OTHER SPECIFIED DORSOPATHIES, THORACIC REGION"
M5407,"PANNICULITIS AFFECTING REGIONS OF NECK/BK, LUMBOSACR REGION"
M5410,"RADICULOPATHY, SITE UNSPECIFIED"
M5412,"RADICULOPATHY, CERVICAL REGION"
M6007,"INFECTIVE MYOSITIS, ANKLE, FOOT AND TOES"
M6220,"NONTRAUMATIC ISCHEMIC INFARCTION OF MUSCLE, UNSPECIFIED SITE"
M6244,"CONTRACTURE OF MUSCLE, HAND"
M6247,"CONTRACTURE OF MUSCLE, ANKLE AND FOOT"
M6281,MUSCLE WEAKNESS (GENERALIZED)
M6283,MUSCLE SPASM
M6581,"OTHER SYNOVITIS AND TENOSYNOVITIS, SHOULDER"
M6627,"SPONTANEOUS RUPTURE OF EXTENSOR TENDONS, ANKLE AND FOOT"
M6739,"TRANSIENT SYNOVITIS, MULTIPLE SITES"
M6747,"GANGLION, ANKLE AND FOOT"
M6749,"GANGLION, MULTIPLE SITES"
M7105,"ABSCESS OF BURSA, HIP"
M7112,"OTHER INFECTIVE BURSITIS, ELBOW"
M722,PLANTAR FASCIAL FIBROMATOSIS
M7542,IMPINGEMENT SYNDROME OF LEFT SHOULDER
M7601,"GLUTEAL TENDINITIS, RIGHT HIP"
M7612,"PSOAS TENDINITIS, LEFT HIP"
M7630,"ILIOTIBIAL BAND SYNDROME, UNSPECIFIED LEG"
M7651,"PATELLAR TENDINITIS, RIGHT KNEE"
M7652,"PATELLAR TENDINITIS, LEFT KNEE"
M7712,"LATERAL EPICONDYLITIS, LEFT ELBOW"
M7742,"METATARSALGIA, LEFT FOOT"
M7910,"MYALGIA, UNSPECIFIED SITE"
M7967,PAIN IN FOOT AND TOES
M79A3,NONTRAUMATIC COMPARTMENT SYNDROME OF ABDOMEN
M8007,"AGE-RELATED OSTEOPOR W CURRENT PATHOLOGICAL FRACTURE, ANK/FT"
M8008,"AGE-RELATED OSTEOPOR W CURRENT PATH FRACTURE, VERTEBRA(E)"
M8446,"PATHOLOGICAL FRACTURE, TIBIA AND FIBULA"
M8488,"OTHER DISORDERS OF CONTINUITY OF BONE, OTHER SITE"
M8617,"OTHER ACUTE OSTEOMYELITIS, ANKLE AND FOOT"
M8619,"OTHER ACUTE OSTEOMYELITIS, MULTIPLE SITES"
M8639,"CHRONIC MULTIFOCAL OSTEOMYELITIS, MULTIPLE SITES"
M8661,"OTHER CHRONIC OSTEOMYELITIS, SHOULDER"
M8664,"OTHER CHRONIC OSTEOMYELITIS, HAND"
M8704,IDIOPATHIC ASEPTIC NECROSIS OF HAND AND FINGERS
M8730,"OTHER SECONDARY OSTEONECROSIS, UNSPECIFIED BONE"
M8788,"OTHER OSTEONECROSIS, OTHER SITE"
M880,OSTEITIS DEFORMANS OF SKULL
M9396,"OSTEOCHONDROPATHY, UNSPECIFIED LOWER LEG"
M9429,"CHONDROMALACIA, MULTIPLE SITES"
M9712,PERIPROSTHETIC FRACTURE AROUND INTERNAL PROSTHETIC L KNEE JT
M9915,SUBLUXATION COMPLEX (VERTEBRAL) OF PELVIC REGION
M9951,INTVRT DISC STENOSIS OF NEURAL CANAL OF CERVICAL REGION
M9984,OTHER BIOMECHANICAL LESIONS OF SACRAL REGION
M9985,OTHER BIOMECHANICAL LESIONS OF PELVIC REGION
M9986,OTHER BIOMECHANICAL LESIONS OF LOWER EXTREMITY
M9988,OTHER BIOMECHANICAL LESIONS OF RIB CAGE
N017,RAPIDLY PROGR NEPH SYNDROME W DIFFUSE CRESCENTIC GLOMRLNEPH
N031,CHRONIC NEPH SYNDROME W FOCAL AND SEG GLOMERULAR LESIONS
N038,CHRONIC NEPHRITIC SYNDROME WITH OTHER MORPHOLOGIC CHANGES
N159,"RENAL TUBULO-INTERSTITIAL DISEASE, UNSPECIFIED"
N18,CHRONIC KIDNEY DISEASE (CKD)
N184,"CHRONIC KIDNEY DISEASE, STAGE 4 (SEVERE)"
N19,UNSPECIFIED KIDNEY FAILURE
N259,"DISORDER RSLT FROM IMPAIRED RENAL TUBULAR FUNCTION, UNSP"
N261,ATROPHY OF KIDNEY (TERMINAL)
N280,ISCHEMIA AND INFARCTION OF KIDNEY
N2886,URETERITIS CYSTICA
N3040,IRRADIATION CYSTITIS WITHOUT HEMATURIA
N3081,OTHER CYSTITIS WITH HEMATURIA
N312,"FLACCID NEUROPATHIC BLADDER, NOT ELSEWHERE CLASSIFIED"
N343,"URETHRAL SYNDROME, UNSPECIFIED"
N358,OTHER URETHRAL STRICTURE
N365,URETHRAL FALSE PASSAGE
N368,OTHER SPECIFIED DISORDERS OF URETHRA
N401,BENIGN PROSTATIC HYPERPLASIA WITH LOWER URINARY TRACT SYMP
N4230,UNSPECIFIED DYSPLASIA OF PROSTATE
N431,INFECTED HYDROCELE
N433,"HYDROCELE, UNSPECIFIED"
N469,"MALE INFERTILITY, UNSPECIFIED"
N4829,OTHER INFLAMMATORY DISORDERS OF PENIS
N4830,"PRIAPISM, UNSPECIFIED"
N490,INFLAMMATORY DISORDERS OF SEMINAL VESICLE
N5203,COMB ARTRL INSUFF & CORPORO-VENOUS OCCLUSV ERECTILE DYSFNCT
N5232,ERECTILE DYSFUNCTION FOLLOWING RADICAL CYSTECTOMY
N529,"MALE ERECTILE DYSFUNCTION, UNSPECIFIED"
N5314,RETROGRADE EJACULATION
N6031,FIBROSCLEROSIS OF RIGHT BREAST
N6082,OTHER BENIGN MAMMARY DYSPLASIAS OF LEFT BREAST
N644,MASTODYNIA
N751,ABSCESS OF BARTHOLIN'S GLAND
N765,ULCERATION OF VAGINA
N810,URETHROCELE
N816,RECTOCELE
N819,"FEMALE GENITAL PROLAPSE, UNSPECIFIED"
N9081,FEMALE GENITAL MUTILATION STATUS
N924,EXCESSIVE BLEEDING IN THE PREMENOPAUSAL PERIOD
N979,"FEMALE INFERTILITY, UNSPECIFIED"
N9912,"POSTPROCEDURAL URETHRAL STRICTURE, FEMALE"
O0951,SUPERVISION OF ELDERLY PRIMIGRAVIDA
O0952,SUPERVISION OF ELDERLY MULTIGRAVIDA
O0989,SUPERVISION OF OTHER HIGH RISK PREGNANCIES
O0993,"SUPERVISION OF HIGH RISK PREGNANCY, UNSP, THIRD TRIMESTER"
O208,OTHER HEMORRHAGE IN EARLY PREGNANCY
O2341,"UNSP INFCT OF URINARY TRACT IN PREGNANCY, FIRST TRIMESTER"
O2343,"UNSP INFCT OF URINARY TRACT IN PREGNANCY, THIRD TRIMESTER"
O2391,"UNSP GU TRACT INFECTION IN PREGNANCY, FIRST TRIMESTER"
O2613,"LOW WEIGHT GAIN IN PREGNANCY, THIRD TRIMESTER"
O339,"MATERNAL CARE FOR DISPROPORTION, UNSPECIFIED"
O3411,"MATERNAL CARE FOR BENIGN TUMOR OF CORPUS UTERI, FIRST TRI"
O3421,MATERNAL CARE FOR SCAR FROM PREVIOUS CESAREAN DELIVERY
O3429,MATERNAL CARE DUE TO UTERINE SCAR FROM OTH PREVIOUS SURGERY
O359X,null
O3601,MATERNAL CARE FOR ANTI-D [RH] ANTIBODIES
O3681,DECREASED FETAL MOVEMENTS
O4211,"PRETERM PREMATURE ROM, ONSET LABOR > 24 HOURS FOL RUPTURE"
O4292,"FULL-TERM PREM ROM, UNSP TIME BETW RUPTURE AND ONSET LABOR"
O4422,"PARTIAL PLACENTA PREVIA NOS OR WITHOUT HEMOR, SECOND TRI"
O4693,"ANTEPARTUM HEMORRHAGE, UNSPECIFIED, THIRD TRIMESTER"
O4700,"FALSE LABOR BEFORE 37 COMPLETED WEEKS OF GEST, UNSP TRI"
O6002,"PRETERM LABOR WITHOUT DELIVERY, SECOND TRIMESTER"
O665,ATTEMPTED APPLICATION OF VACUUM EXTRACTOR AND FORCEPS
O770,LABOR AND DELIVERY COMPLICATED BY MECONIUM IN AMNIOTIC FLUID
O9123,NONPURULENT MASTITIS ASSOCIATED WITH LACTATION
O9832,OTH INFECTIONS W SEXL MODE OF TRANSMISS COMP CHILDBIRTH
O9943,DISEASES OF THE CIRC SYS COMPLICATING THE PUERPERIUM
O9961,DISEASES OF THE DIGESTIVE SYSTEM COMPLICATING PREGNANCY
P9160,"HYPOXIC ISCHEMIC ENCEPHALOPATHY [HIE], UNSPECIFIED"
Q130,COLOBOMA OF IRIS
Q2111,SECUNDUM ATRIAL SEPTAL DEFECT
Q268,OTHER CONGENITAL MALFORMATIONS OF GREAT VEINS
Q320,CONGENITAL TRACHEOMALACIA
Q400,CONGENITAL HYPERTROPHIC PYLORIC STENOSIS
Q430,MECKEL'S DIVERTICULUM (DISPLACED) (HYPERTROPHIC)
Q439,"CONGENITAL MALFORMATION OF INTESTINE, UNSPECIFIED"
Q444,CHOLEDOCHAL CYST
Q501,DEVELOPMENTAL OVARIAN CYST
Q541,"HYPOSPADIAS, PENILE"
Q548,OTHER HYPOSPADIAS
Q5564,HIDDEN PENIS
Q5569,OTHER CONGENITAL MALFORMATION OF PENIS
Q558,OTH CONGENITAL MALFORMATIONS OF MALE GENITAL ORGANS
Q612,"POLYCYSTIC KIDNEY, ADULT TYPE"
Q613,"POLYCYSTIC KIDNEY, UNSPECIFIED"
Q614,RENAL DYSPLASIA
Q6210,"CONGENITAL OCCLUSION OF URETER, UNSPECIFIED"
Q639,"CONGENITAL MALFORMATION OF KIDNEY, UNSPECIFIED"
Q6610,"CONGENITAL TALIPES CALCANEOVARUS, UNSPECIFIED FOOT"
Q6689,OTHER SPECIFIED CONGENITAL DEFORMITIES OF FEET
Q6690,"CONGENITAL DEFORMITY OF FEET, UNSPECIFIED, UNSPECIFIED FOOT"
Q670,CONGENITAL FACIAL ASYMMETRY
Q686,DISCOID MENISCUS
Q738,OTHER REDUCTION DEFECTS OF UNSPECIFIED LIMB(S)
Q758,OTH CONGENITAL MALFORMATIONS OF SKULL AND FACE BONES
Q791,OTHER CONGENITAL MALFORMATIONS OF DIAPHRAGM
Q794,PRUNE BELLY SYNDROME
Q873,CONGENITAL MALFORMATION SYNDROMES INVOLVING EARLY OVERGROWTH
Q8743,MARFAN SYNDROME WITH SKELETAL MANIFESTATION
Q891,CONGENITAL MALFORMATIONS OF ADRENAL GLAND
Q898,OTHER SPECIFIED CONGENITAL MALFORMATIONS
Q902,"TRISOMY 21, TRANSLOCATION"
Q935,OTHER DELETIONS OF PART OF A CHROMOSOME
Q9388,OTHER MICRODELETIONS
R0683,SNORING
R0981,NASAL CONGESTION
R1112,PROJECTILE VOMITING
R188,OTHER ASCITES
R1903,"RIGHT LOWER QUADRANT ABDOMINAL SWELLING, MASS AND LUMP"
R1912,HYPERACTIVE BOWEL SOUNDS
R196,HALITOSIS
R202,PARESTHESIA OF SKIN
R208,OTHER DISTURBANCES OF SKIN SENSATION
R2242,"LOCALIZED SWELLING, MASS AND LUMP, LEFT LOWER LIMB"
R252,CRAMP AND SPASM
R2689,OTHER ABNORMALITIES OF GAIT AND MOBILITY
R2990,UNSPECIFIED SYMPTOMS AND SIGNS INVOLVING THE NERVOUS SYSTEM
R319,"HEMATURIA, UNSPECIFIED"
R3989,OTHER SYMPTOMS AND SIGNS INVOLVING THE GENITOURINARY SYSTEM
R4183,BORDERLINE INTELLECTUAL FUNCTIONING
R4581,LOW SELF-ESTEEM
R479,UNSPECIFIED SPEECH DISTURBANCES
R488,OTHER SYMBOLIC DYSFUNCTIONS
R491,APHONIA
R4921,HYPERNASALITY
R5600,SIMPLE FEBRILE CONVULSIONS
R6884,JAW PAIN
R701,ABNORMAL PLASMA VISCOSITY
R740,NONSPEC ELEV OF LEVELS OF TRANSAMNS & LACTIC ACID DEHYDRGNSE
R7611,NONSPECIFIC REACTION TO SKIN TEST W/O ACTIVE TUBERCULOSIS
R769,"ABNORMAL IMMUNOLOGICAL FINDING IN SERUM, UNSPECIFIED"
R772,ABNORMALITY OF ALPHAFETOPROTEIN
R779,"ABNORMALITY OF PLASMA PROTEIN, UNSPECIFIED"
R785,FINDING OF OTHER PSYCHOTROPIC DRUG IN BLOOD
R803,BENCE JONES PROTEINURIA
R831,ABNORMAL LEVEL OF HORMONES IN CEREBROSPINAL FLUID
R848,OTH ABNORMAL FINDINGS IN SPECIMENS FROM RESP ORG/THRX
R8569,ABN CYTOLOG FINDINGS IN SPECMN FROM OTH DGSTV ORG/ABD CAV
R9082,"WHITE MATTER DISEASE, UNSPECIFIED"
R911,SOLITARY PULMONARY NODULE
R9342,ABNORMAL RADIOLOGIC FINDINGS ON DIAGNOSTIC IMAGING OF KIDNEY
S0055,SUPERFICIAL FOREIGN BODY OF LIP AND ORAL CAVITY
S0120,UNSPECIFIED OPEN WOUND OF NOSE
S0130,UNSPECIFIED OPEN WOUND OF EAR
S0180,UNSPECIFIED OPEN WOUND OF OTHER PART OF HEAD
S0190,UNSPECIFIED OPEN WOUND OF UNSPECIFIED PART OF HEAD
S0242,FRACTURE OF ALVEOLUS OF MAXILLA
S0267,FRACTURE OF ALVEOLUS OF MANDIBLE
S0452,"INJURY OF FACIAL NERVE, LEFT SIDE"
S061X,TRAUMATIC CEREBRAL EDEMA
S066X,TRAUMATIC SUBARACHNOID HEMORRHAGE
S098X,null
S1015,SUPERFICIAL FOREIGN BODY OF THROAT
S1096,INSECT BITE OF UNSPECIFIED PART OF NECK
S129X,null
S139X,null
S299X,null
S301X,null
S3120,UNSPECIFIED OPEN WOUND OF PENIS
S3281,MULTIPLE FRACTURES OF PELVIS WITH DISRUPTION OF PELVIC RING
S3310,SUBLUXATION AND DISLOCATION OF UNSPECIFIED LUMBAR VERTEBRA
S3401,CONCUSSION AND EDEMA OF LUMBAR SPINAL CORD
S3609,OTHER INJURY OF SPLEEN
S4002,CONTUSION OF UPPER ARM
S4026,INSECT BITE (NONVENOMOUS) OF SHOULDER
S4215,FRACTURE OF NECK OF SCAPULA
S4225,FRACTURE OF GREATER TUBEROSITY OF HUMERUS
S4291,"FRACTURE OF RIGHT SHOULDER GIRDLE, PART UNSPECIFIED"
S4300,UNSPECIFIED SUBLUXATION AND DISLOCATION OF SHOULDER JOINT
S4308,OTHER SUBLUXATION AND DISLOCATION OF SHOULDER JOINT
S4321,ANTERIOR SUBLUXATION AND DISLOCATION OF STERNOCLAV JT
S4340,UNSPECIFIED SPRAIN OF SHOULDER JOINT
S4421,"INJURY OF RADIAL NERVE AT UPPER ARM LEVEL, RIGHT ARM"
S4431,"INJURY OF AXILLARY NERVE, RIGHT ARM"
S4609,INJ MUSCLE(S) AND TENDON(S) OF THE ROTATOR CUFF OF SHOULDER
S4981,OTHER SPECIFIED INJURIES OF RIGHT SHOULDER AND UPPER ARM
S5011,CONTUSION OF RIGHT FOREARM
S5086,INSECT BITE (NONVENOMOUS) OF FOREARM
S5102,LACERATION WITH FOREIGN BODY OF ELBOW
S5202,FRACTURE OF OLECRAN PRO W/O INTRAARTICULAR EXTENSION OF ULNA
S5290,UNSPECIFIED FRACTURE OF UNSPECIFIED FOREARM
S6091,UNSPECIFIED SUPERFICIAL INJURY OF WRIST
S6155,OPEN BITE OF WRIST
H4709,"OTHER DISORDERS OF OPTIC NERVE, NOT ELSEWHERE CLASSIFIED"
S0911,STRAIN OF MUSCLE AND TENDON OF HEAD
S4891,"COMPLETE TRAUMATIC AMPUTATION OF SHLDR/UP ARM, LEVEL UNSP"
S6250,FRACTURE OF UNSPECIFIED PHALANX OF THUMB
S6251,FRACTURE OF PROXIMAL PHALANX OF THUMB
S6263,DISPLACED FRACTURE OF DISTAL PHALANX OF FINGER
S6264,NONDISPLACED FRACTURE OF PROXIMAL PHALANX OF FINGER
S6391,SPRAIN OF UNSPECIFIED PART OF RIGHT WRIST AND HAND
S6402,INJURY OF ULNAR NERVE AT WRIST AND HAND LEVEL OF LEFT ARM
S7200,FRACTURE OF UNSPECIFIED PART OF NECK OF FEMUR
S7210,UNSPECIFIED TROCHANTERIC FRACTURE OF FEMUR
S7244,FRACTURE OF LOWER EPIPHYSIS (SEPARATION) OF FEMUR
S7292,UNSPECIFIED FRACTURE OF LEFT FEMUR
S7311,ILIOFEMORAL LIGAMENT SPRAIN OF HIP
S7631,STRAIN OF MSL/FASC/TND POSTERIOR MUSCLE GROUP AT THIGH LEVEL
S8011,CONTUSION OF RIGHT LOWER LEG
S8081,ABRASION OF LOWER LEG
S8180,UNSPECIFIED OPEN WOUND OF LOWER LEG
S8204,COMMINUTED FRACTURE OF PATELLA
S8215,FRACTURE OF TIBIAL TUBEROSITY
S8263,DISP FX OF LATERAL MALLEOLUS OF UNSPECIFIED FIBULA
S8285,TRIMALLEOLAR FRACTURE OF LOWER LEG
S8609,OTHER SPECIFIED INJURY OF ACHILLES TENDON
S8891,"COMPLETE TRAUMATIC AMPUTATION OF LOWER LEG, LEVEL UNSP"
S9093,UNSPECIFIED SUPERFICIAL INJURY OF TOES
S9812,PARTIAL TRAUMATIC AMPUTATION OF GREAT TOE
S9813,COMPLETE TRAUMATIC AMPUTATION OF ONE LESSER TOE
S9981,OTHER SPECIFIED INJURIES OF ANKLE
T07,UNSPECIFIED MULTIPLE INJURIES
T07XX,null
T148,OTHER INJURY OF UNSPECIFIED BODY REGION
T1590,"FOREIGN BODY ON EXTERNAL EYE, PART UNSP, UNSPECIFIED EYE"
T1591,"FOREIGN BODY ON EXTERNAL EYE, PART UNSPECIFIED, RIGHT EYE"
T1792,"FOOD IN RESPIRATORY TRACT, PART UNSPECIFIED"
T2020,"BURN OF SECOND DEGREE OF HEAD, FACE, AND NECK, UNSP SITE"
T2121,BURN OF SECOND DEGREE OF CHEST WALL
T2211,BURN OF FIRST DEGREE OF FOREARM
T2502,BURN OF UNSPECIFIED DEGREE OF FOOT
T300,"BURN OF UNSPECIFIED BODY REGION, UNSPECIFIED DEGREE"
T3111,BURNS OF 10-19% OF BODY SURFACE W 10-19% THIRD DEGREE BURNS
T3695,ADVERSE EFFECT OF UNSPECIFIED SYSTEMIC ANTIBIOTIC
T413X,LOCAL ANESTHETICS
T4320,UNSP ANTIDEPRESSANTS
T450X,ANTIALLERGIC AND ANTIEMETIC DRUGS
T4551,ANTICOAGULANTS
T461X,CALCIUM-CHANNEL BLOCKERS
T465X,ANTIHYPERTENSIVE DRUGS
T466X,ANTIHYPERLIPIDEMIC AND ANTIARTERIOSCLEROTIC DRUGS
T6345,TOXIC EFFECT OF VENOM OF HORNETS
T675X,null
T68XX,null
T753X,null
T7809,ANAPHYLACTIC REACTION DUE TO OTHER FOOD PRODUCTS
T797X,null
